source,code,country,elevation_ft,frequency_1_frequency,frequency_1_service,frequency_2_frequency,frequency_2_service,frequency_3_frequency,frequency_3_service,latitude,longitude,magnetic_variation,name,state,time_zone,type
vfr,EMI,Australia,,,,,,,,262850S,1525710E,,EUMUNDI,QLD,,
vfr,EWI,Australia,,,,,,,,235900S,1335600E,,EWANINGA,NT,,
vfr,EMD,Australia,,,,,,,,264640S,1530030E,,EWEN MADDOCK DAM,QLD,,
vfr,FCP,Australia,,,,,,,,165230S,1455100E,,FALSE CAPE,QLD,,
vfr,FHS,Australia,,,,,,,,310830S,1505900E,,FARRER HIGH SCHOOL,NSW,,
vfr,FDP,Australia,,,,,,,,431600S,1462700E,,FEDERATION PEAK,TAS,,
vfr,FNVL,Australia,,,,,,,,272715S,1523910E,,FERNVALE,QLD,,
vfr,FLDI,Australia,,,,,,,,120600S,1322300E,,FIELD ISLAND,NT,,
vfr,FISH,Australia,,,,,,,,272312S,1531036E,,FISHERMANS ISLAND,QLD,,
vfr,FSHR,Australia,,,,,,,,351350S,1502654E,,FISHERMANS PARADISE,NSW,,
vfr,FIT,Australia,,,,,,,,351000S,1473720E,,FITNESS CAMP,NSW,,
vfr,FID,Australia,,,,,,,,165600S,1455930E,,FITZROY ISLAND,QLD,,
vfr,FGN,Australia,,,,,,,,374735S,1445440E,,FLEMINGTON,VIC,,
vfr,FPK,Australia,,,,,,,,274900S,1524830E,,FLINDERS PEAK,QLD,,
vfr,FYN,Australia,,,,,,,,381138S,1464024E,,FLYNN,VIC,,
vfr,FMN,Australia,,,,,,,,272345S,1512430E,,FORMARTIN,QLD,,
vfr,FDL,Australia,,,,,,,,320935S,1155550E,,FORRESTDALE LAKE,WA,,
vfr,FFLD,Australia,,,,,,,,315919S,1160104E,,FORRESTFIELD,WA,,
vfr,FOWB,Australia,,,,,,,,315900S,1322600E,,FOWLERS BAY,SA,,
vfr,FRLG,Australia,,,,,,,,342724S,1384830E,,FREELING,SA,,
vfr,FWO,Australia,,,,,,,,374743S,1445938E,,FREEWAY OVERPASS,VIC,,
