source,code,country,elevation_ft,frequency_1_frequency,frequency_1_service,frequency_2_frequency,frequency_2_service,frequency_3_frequency,frequency_3_service,latitude,longitude,magnetic_variation,name,state,time_zone,type
airports,AGY,Australia,407,,,,,,,163030S,1285520E,,Argyle Downs Airport,Western Australia,,small_airport
airports,ANZ,Australia,1724,,,,,,,250156S,1321629E,,Angus Downs Airport,Northern Territory,,small_airport
airports,AU-0001,Australia,,,,,,,,335430S,1200849E,,Hopetoun Airfield,Western Australia,,closed
airports,AU-0002,Australia,,,,,,,,324133S,1160429E,,Dwellingup Airstrip,Western Australia,,small_airport
airports,AU-0003,Australia,1425,,,,,,,270918S,1243505E,,Tjukayirla Roadhouse Airstrip,Western Australia,,small_airport
airports,AU-0004,Australia,11,,,,,,,315740S,1155204E,,Langley Park Airstrip,Western Australia,,small_airport
airports,AU-0005,Australia,30,126.7,CTAF,,,,,334721S,1215724E,,Myrup fly in estate Airport,Western Australia,,small_airport
airports,AU-0006,Australia,900,,,,,,,325630S,1175155E,,Harrismith Airport,Western Australia,,small_airport
airports,AU-0007,Australia,1000,,,,,,,324019S,1181008E,,Kulin Airport,Western Australia,,small_airport
airports,AU-0008,Australia,314,,,,,,,352217S,1365137E,,Althorpe Lighthouse,South Australia,,heliport
airports,AU-0009,Australia,,,,,,,,323449S,1155306E,,Pinjarra North Airstrip,Western Australia,,small_airport
airports,AU-0010,Australia,,,,,,,,323959S,1155254E,,Pinjarra Skydiving Airstrip,Western Australia,,small_airport
airports,AU-0011,Australia,,,,,,,,324714S,1154722E,,Wheeler Field,Western Australia,,small_airport
airports,AU-0012,Australia,11,,,,,,,324727S,1154015E,,Lake Clifton Airstrip,Western Australia,,small_airport
airports,AU-0013,Australia,,,,,,,,325059S,1153823E,,Between Lakes Private Airstrip,Western Australia,,small_airport
airports,AU-0014,Australia,,127.1,ctaf,,,,,282616S,1134408E,,Abrolhos East Wallabi Island Airport,Western Australia,,small_airport
airports,AU-0015,Australia,100,,,,,,,342250S,1191955E,,Bremer Bay Airport,Western Australia,,small_airport
airports,AU-0016,Australia,900,,,,,,,315816S,1504841E,,Middlebrook Station Scone Airstrip,New South Wales,,small_airport
airports,AU-0017,Australia,655,,,,,,,341330S,1181258E,,Lily Dutch Windmill Airstrip,Western Australia,,small_airport
airports,AU-0018,Australia,20,126.7,CTAF,,,,,330119S,1154207E,,Preston Field - Blair Howe,Western Australia,,small_airport
airports,AU-0019,Australia,700,,,,,,,414654S,1474309E,,Avoca Airport,Tasmania,,small_airport
airports,AU-0020,Australia,850,,,,,,,331029S,1180505E,,Kukerin,Western Australia,,small_airport
airports,AU-0021,Australia,2325,,,,,,,222913S,1182804E,,Karijini National Park,Western Australia,,small_airport
airports,AU-0022,Australia,5,,,,,,,230621S,1134818E,,Cardabia Homestead Airstrip,Western Australia,,small_airport
airports,AU-0023,Australia,713,,,,,,,420944S,1472700E,,Woodbury Airfield,Tasmania,,small_airport
airports,AU-0024,Australia,10,,,,,,,382143S,1421551E,,Port Fairy,Victoria,,small_airport
airports,AU-0025,Australia,,,,,,,,343936S,1160826E,,Northcliffe Airstrip,Western Australia,,small_airport
airports,AU-0026,Australia,970,,,,,,,275900S,1160159E,,Yuin Station,Western Australia,,small_airport
airports,AU-0027,Australia,50,,,,,,,405353S,1475140E,,Boobyalla Airfield,Tasmania,,small_airport
airports,AU-0028,Australia,1100,,,,,,,365818S,1431710E,,Moonambel Airfield,Victoria,,small_airport
airports,AU-0029,Australia,,,,,,,,341844S,1181109E,,Stirling Range Retreat,Western Australia,,small_airport
airports,AU-0030,Australia,825,,,,,,,342051S,1165707E,,Frankland Valley Vineyard Airport,Western Australia,,small_airport
airports,AU-0031,Australia,980,,,,,,,313619S,1161540E,,Avon Valley NP Airstrip,Western Australia,,closed
airports,AU-0032,Australia,1993,,,,,,,354545S,1475312E,,Tumbarumba Airport,New South Wales,,small_airport
airports,AU-0033,Australia,,,,,,,,284231S,1154903E,,Tardun Christian Brothers airfield,Western Australia,,small_airport
airports,AU-0034,Australia,96,,,,,,,335321S,1511101E,,Royal Prince Alfred Hospital Helipad,New South Wales,,heliport
airports,AU-0035,Australia,363,,,,,,,334916S,1511131E,,Royal North Shore Hospital Helipad,New South Wales,,heliport
airports,AU-0036,Australia,,,,,,,,305759S,1161255E,,New Norcia Airstrip,Western Australia,,closed
airports,AU-0037,Australia,768,,,,,,,305511S,1161405E,,Glentromie Airstrip,Western Australia,,small_airport
airports,AU-0038,Australia,1,127.1,ctaf,,,,,281759S,1133544E,,Abrolhos North Island,Western Australia,,small_airport
airports,AU-0039,Australia,,,,,,,,282831S,1134121E,,Abrolhos Island,Western Australia,,small_airport
airports,AU-0040,Australia,,,,,,,,265816S,1523359E,,Kilcoy Airfield,Queensland,,small_airport
airports,AU-0041,Australia,200,,,,,,,345914S,1180320E,,Maitraya Resort Airstrip,Western Australia,,small_airport
airports,AU-0042,Australia,,,,,,,,280416S,1142838E,,Hutt River Airstrip,Western Australia,,closed
airports,AU-0043,Australia,,,,,,,,313116S,1160850E,,Chittering Airstrip,Western Australia,,small_airport
airports,AU-0044,Australia,900,126.7,CTAF,,,,,372619S,1432732E,,Trawalla Airport,Victoria,,small_airport
airports,AU-0045,Australia,,119.1,CTAF,,,,,371351S,1424035E,,Pomonal Airstrip,Victoria,,small_airport
airports,AU-0046,Australia,,,,,,,,282500S,1371800E,,Lake Eyre North,South Australia,,small_airport
airports,AU-0047,Australia,,,,,,,,215253S,1140033E,,Yardie Homestead,Western Australia,,small_airport
airports,AU-0048,Australia,950,,,,,,,323951S,1181838E,,Kulin Bush Races Strip,Western Australia,,small_airport
airports,AU-0049,Australia,25,,,,,,,272044S,1532532E,,Kooringal Airstrip,Queensland,,small_airport
airports,AU-0050,Australia,,126.7,CTAF,,,,,351021S,1382936E,,Huntfield Airfield,South Australia,,small_airport
airports,AU-0051,Australia,69,,,,,,,191912S,1464538E,,Townsville University Hospital Heliport,Queensland,,heliport
airports,AU-0052,Australia,,,,,,,,365742S,1474021E,,Lake Omeo Dry Lake Ultralightport,Victoria,,small_airport
airports,AU-0053,Australia,5200,,,,,,,372054S,1464557E,,Snowy Range Airfield,Victoria,,small_airport
airports,AU-0054,Australia,1164,126.7,CTAF,122.4,FIA,,,370842S,1460933E,,Delatite Airstrip,Victoria,,small_airport
airports,AU-0055,Australia,33,,,,,,,333250S,1511256E,,Brooklyn Oval Helicopter Landing Site,New South Wales,,heliport
airports,AU-0056,Australia,295,,,,,,,333322S,1511136E,,Brooklyn TMC - Olivers Garage Helipad,New South Wales,,heliport
airports,AU-0057,Australia,21,,,,,,,293624S,1531955E,,Brooms Head Heliport,New South Wales,,heliport
airports,AU-0058,Australia,705,,,,,,,333919S,1472401E,,Cowal Gold Mine Helipad,New South Wales,,heliport
airports,AU-0059,Australia,550,,,,,,,233416S,1485240E,,Blackwater Hospital Helipad,Queensland,,heliport
airports,AU-0060,Australia,,118.6,CTAF,113.7,MISC,119.6,MISC,300856S,1471937E,,Miralwyn Airport,New South Wales,,small_airport
airports,AU-0061,Australia,2014,,,,,,,294617S,1510752E,,Inverell Hospital Helipad,New South Wales,,heliport
airports,AU-0062,Australia,3316,,,,,,,333741S,1501824E,,Blackheath - NPWS Helipad,New South Wales,,heliport
airports,AU-0063,Australia,31,,,,,,,284830S,1531704E,,Lismore - Mortimer Oval Helicopter Landing Site,New South Wales,,heliport
airports,AU-0064,Australia,32,,,,,,,284804S,1531717E,,Lismore Helibase,New South Wales,,heliport
airports,AU-0065,Australia,30,,,,,,,334421S,1511837E,,Long Reef Helipad,New South Wales,,heliport
airports,AU-0066,Australia,33,,,,,,,241058S,1515257E,,Agnes Water SES Grounds HLS,Queensland,,heliport
airports,AU-0067,Australia,185,,,,,,,131410S,1310628E,,Adelaide River Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0068,Australia,19,,,,,,,272411S,1532623E,,Amity Heliport,Queensland,,heliport
airports,AU-0069,Australia,832,,,,,,,341235S,1504729E,,Appin Colliery Helipad,New South Wales,,heliport
airports,AU-0070,Australia,2840,,,,,,,331610S,1500330E,,Baal Bone Colliery Helipad,New South Wales,,heliport
airports,AU-0071,Australia,58,,,,,,,351913S,1394733E,,Sherlock Ultralight Airfield,South Australia,,small_airport
airports,AU-0072,Australia,2134,,,,,,,352652S,1494803E,,Braidwood Helicopter Landing Site,New South Wales,,heliport
airports,AU-0073,Australia,35,,,,,,,232829S,1134757E,,Warroora Station Airstrip,Western Australia,,small_airport
airports,AU-0074,Australia,174,,,,,,,381310S,1471009E,,Longford Heliport,Victoria,,heliport
airports,AU-0075,Australia,4555,,,,,,,370159S,1471819E,,Horse Hair Plain Aerodrome,Victoria,,closed
airports,AU-0076,Australia,1195,,,,,,,341402S,1504947E,,West Cliff Colliery Helipad,New South Wales,,heliport
airports,AU-0077,Australia,495,,,,,,,283706S,1524736E,,Toonumbar Dam Helipad,New South Wales,,heliport
airports,AU-0078,Australia,25,,,,,,,293936S,1530620E,,Tucabia Oval Helicopter Landing Site,New South Wales,,heliport
airports,AU-0079,Australia,1210,,,,,,,282808S,1523304E,,Urbenville Helipad,New South Wales,,heliport
airports,AU-0080,Australia,40,,,,,,,340225S,1510948E,,Wanda Beach Helipad,New South Wales,,heliport
airports,AU-0081,Australia,20,,,,,,,240646S,1524256E,,Lady Elliot Island Airstrip,Queensland,,small_airport
airports,AU-0082,Australia,41,,,,,,,220532S,1493108E,,Clairview Heliport,Queensland,,heliport
airports,AU-0083,Australia,874,,,,,,,224937S,1473752E,,Clermont Hospital Helipad,Queensland,,heliport
airports,AU-0084,Australia,5,,,,,,,272403S,1530950E,,Brisbane Water Police Helipad,Queensland,,heliport
airports,AU-0085,Australia,158,,,,,,,303436S,1151406E,,Nambung Station Private Airstrip,Western Australia,,small_airport
airports,AU-0086,Australia,62,,,,,,,215433S,1492501E,,Carmila Town Helicopter Landing Site,Queensland,,heliport
airports,AU-0087,Australia,18,,,,,,,273203S,1531540E,,Redland Hospital Helicopter Landing Site,Queensland,,heliport
airports,AU-0088,Australia,5,,,,,,,274926S,1532433E,,Couran Cove Resort Helipad,Queensland,,heliport
airports,AU-0089,Australia,1764,,,,,,,271553S,1520331E,,Crows Nest Helipad,Queensland,,heliport
airports,AU-0090,Australia,441,,,,,,,233918S,1492016E,,Dingo Airstrip,Queensland,,small_airport
airports,AU-0091,Australia,428,,,,,,,235052S,1501544E,,Dululu Helicopter Landing Site,Queensland,,heliport
airports,AU-0092,Australia,593,,,,,,,233059S,1480914E,,Emerald Hospital Helicopter Landing Site,Queensland,,heliport
airports,AU-0093,Australia,62,,,,,,,245736S,1531855E,,Orchid Beach Resort Helipad,Queensland,,heliport
airports,AU-0094,Australia,339,,,,,,,253519S,1530352E,,Toby's Gap Airstrip,Queensland,,small_airport
airports,AU-0095,Australia,10,,,,,,,200926S,1485653E,,Hook Island Helipad,Queensland,,heliport
airports,AU-0096,Australia,986,,,,,,,212919S,1482130E,,Hail Creek Mine Heliport,Queensland,,heliport
airports,AU-0097,Australia,802,,,,,,,261046S,1520356E,,Goomeri Oval Helicopter Landing Site,Queensland,,heliport
airports,AU-0098,Australia,10,,,,,,,275811S,1532537E,,Gold Coast Water Police Helicopter Landing Site,Queensland,,heliport
airports,AU-0099,Australia,1240,,,,,,,212138S,1480655E,,Glenden Township Heliport,Queensland,,heliport
airports,AU-0100,Australia,108,,,,,,,235059S,1511454E,,Gladstone Hospital Helipad,Queensland,,heliport
airports,AU-0101,Australia,45,,,,,,,234625S,1511936E,,Facing Island Farmers Cove Helicopter Landing Site,Queensland,,heliport
airports,AU-0102,Australia,73,,,,,,,235232S,1512218E,,Facing Island - Gatcomb Head Helipad,Queensland,,heliport
airports,AU-0103,Australia,33,,,,,,,253017S,1530745E,,Eurong Heliport,Queensland,,heliport
airports,AU-0104,Australia,736,,,,,,,283632S,1502107E,,Boggabilla Fuel Depot Landing Site,New South Wales,,heliport
airports,AU-0105,Australia,740,,,,,,,283857S,1502040E,,Boggabilla Airstrip,New South Wales,,small_airport
airports,AU-0106,Australia,800,,,,,,,284157S,1145439E,,Valley View,Western Australia,,small_airport
airports,AU-0107,Australia,,,,,,,,324021S,1154722E,,Midway,Western Australia,,small_airport
airports,AU-0108,Australia,,,,,,,,324712S,1155437E,,Wheeler Drome,Western Australia,,small_airport
airports,AU-0109,Australia,,,,,,,,330541S,1154301E,,Unknown Farm Strip,Western Australia,,small_airport
airports,AU-0110,Australia,67,,,,,,,113257S,1325451E,,Murgenella Airstrip,Northern Territory,,small_airport
airports,AU-0111,Australia,1852,,,,,,,375133S,1452235E,,Olinda (DSE) Helibase,Victoria,,heliport
airports,AU-0112,Australia,2186,,,,,,,223910S,1332050E,,Aileron Airstrip,Northern Territory,,small_airport
airports,AU-0113,Australia,,,,,,,,262427S,1142713E,,Overlander Airport,Western Australia,,small_airport
airports,AU-0114,Australia,,,,,,,,322247S,1504142E,,Denman Farm Strip,New South Wales,,small_airport
airports,AU-0115,Australia,36,,,,,,,343321S,1393531E,,Swan Reach Airport,South Australia,,small_airport
airports,AU-0116,Australia,1994,,,,,,,224807S,1342412E,,Alcoota Station Airport,Northern Territory,,small_airport
airports,AU-0117,Australia,37,,,,,,,131450S,1355055E,,Balma Airfield,Northern Territory,,small_airport
airports,AU-0118,Australia,394,,,,,,,132236S,1312943E,,Ban Ban Airfield,Northern Territory,,small_airport
airports,AU-0119,Australia,969,,,,,,,184754S,1340222E,,Banka Banka Airstrip,Northern Territory,,small_airport
airports,AU-0120,Australia,,,,,,,,130846S,1354902E,,Baygurrtji Airfield,Northern Territory,,small_airport
airports,AU-0121,Australia,306,,,,,,,360536S,1434657E,,Wright Field,Victoria,,small_airport
airports,AU-0122,Australia,51,,,,,,,124901S,1362817E,,Birany Birany Airfield,Northern Territory,,small_airport
airports,AU-0123,Australia,372,,,,,,,160710S,1302544E,,Bullita Airfield,Northern Territory,,small_airport
airports,AU-0124,Australia,1301,,,,,,,175947S,1292055E,,Bunda Landing Ground,Northern Territory,,small_airport
airports,AU-0125,Australia,1612,,,,,,,212959S,1305742E,,Chilla Well Landing Ground,Northern Territory,,small_airport
airports,AU-0126,Australia,764,,,,,,,155203S,1343332E,,Cox River Landing Ground,Northern Territory,,small_airport
airports,AU-0127,Australia,34,,,,,,,124247S,1303722E,,Crab Claw Island Landing Ground,Northern Territory,,small_airport
airports,AU-0128,Australia,330,,,,,,,125320S,1352759E,,Donydji Airport,Northern Territory,,small_airport
airports,AU-0129,Australia,758,,,,,,,141555S,1324947E,,Manyallaluk Airport,Northern Territory,,small_airport
airports,AU-0130,Australia,31,,,,,,,125219S,1303242E,,Finniss River Landing Ground,Northern Territory,,small_airport
airports,AU-0131,Australia,238,,,,,,,141117S,1305253E,,Fish River Landing Ground,Northern Territory,,small_airport
airports,AU-0132,Australia,900,,,,,,,304238S,1500222E,,Boggabri Hospital Heliport,New South Wales,,heliport
airports,AU-0133,Australia,620,,,,,,,284416S,1523730E,,Bonalbo - Cricket oval HLS,New South Wales,,heliport
airports,AU-0134,Australia,1620,,,,,,,342636S,1484216E,,Boorowa Helicopter Landing Site,New South Wales,,heliport
airports,AU-0135,Australia,2291,,,,,,,351514S,1492640E,,Bungendore Helicopter Landing Site,New South Wales,,heliport
airports,AU-0136,Australia,1813,,,,,,,344829S,1500024E,,Bungonia NP Heliport,New South Wales,,heliport
airports,AU-0137,Australia,81,,,,,,,282611S,1532804E,,Burringbar Sports Club Helicopter Landing Site,New South Wales,,heliport
airports,AU-0138,Australia,15,,,,,,,283806S,1533437E,,Byron Central Hospital - Cavanbah Sporting Complex HLS,New South Wales,,heliport
airports,AU-0139,Australia,50,,,,,,,124507S,1302255E,,Dundee Beach First Aid Post Helipad,Northern Territory,,heliport
airports,AU-0140,Australia,104,,,,,,,124614S,1303146E,,Dundee Downs First Aid Post HLS,Northern Territory,,heliport
airports,AU-0141,Australia,117,,,,,,,123000S,1304556E,,Gerald Farm Airfield,Northern Territory,,small_airport
airports,AU-0142,Australia,511,,,,,,,135819S,1312430E,,Gypsy Springs - African Mahogany HLS,Northern Territory,,heliport
airports,AU-0143,Australia,341,,,,,,,142624S,1321615E,,Katherine Hospital Helipad,Northern Territory,,heliport
airports,AU-0144,Australia,308,,,,,,,322404S,1514444E,,Dungog Hospital Helipad,New South Wales,,heliport
airports,AU-0145,Australia,623,,,,,,,341306S,1504301E,,Appin West Colliery Heliport,New South Wales,,heliport
airports,AU-0146,Australia,190,,,,,,,334946S,1504840E,,Aussies - Austral Bricks Helicopter landing Site,New South Wales,,heliport
airports,AU-0147,Australia,986,,,,,,,305706S,1490354E,,"Baradine Oval Helicopter landing Site,",New South Wales,,heliport
airports,AU-0148,Australia,1471,,,,,,,265322S,1520617E,,Blackbutt Helicopter Landing Site,Queensland,,heliport
airports,AU-0149,Australia,897,,,,,,,303752S,1500828E,,Boggabri Coal Homestead Helipad,New South Wales,,heliport
airports,AU-0150,Australia,317,,,,,,,334441S,1505926E,,Baulkham Hills Private Hospital Helicopter Landing Site,New South Wales,,heliport
airports,AU-0151,Australia,630,,,,,,,242336S,1503043E,,Biloela Sports Field Helicopter Landing Site,Queensland,,heliport
airports,AU-0152,Australia,595,,,,,,,130734S,1304817E,,LNP Florence Buley Rd Intersection Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0153,Australia,328,,,,,,,130548S,1304704E,,LNP Florence Falls Campground Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0154,Australia,724,,,,,,,131224S,1304516E,,LNP Lost City Gravel Pit Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0155,Australia,126,,,,,,,131518S,1304355E,,LNP Sandy Creek Falls Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0156,Australia,216,,,,,,,130612S,1305041E,,LNP Termite Mounds Carpark Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0157,Australia,216,,,,,,,131209S,1304249E,,LNP Tolmer Falls Carpark Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0158,Australia,404,,,,,,,130450S,1304133E,,LNP Walker Creek Ranger Station Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0159,Australia,112,,,,,,,130944S,1304054E,,LNP Wangi Carpark Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0160,Australia,235,,,,,,,114549S,1305330E,,Pickertaramoor Oval Helicopter Landing Site,Northern Territory,,heliport
airports,AU-0161,Australia,2248,,,,,,,354014S,1490407E,,Caloola Farm Top Naas Valley Helicopter Landing Site,Australian Capital Territory,,heliport
airports,AU-0162,Australia,2566,,,,,,,352942S,1491706E,,Canberra Training Area C30 Helicopter Landing Site,Australian Capital Territory,,heliport
airports,AU-0163,Australia,2996,,,,,,,332107S,1500556E,,Angus Place Colliery Heliport,New South Wales,,heliport
airports,AU-0164,Australia,82,,,,,,,335537S,1510122E,,Bankstown - City Sports Complex HLS,New South Wales,,heliport
airports,AU-0165,Australia,18,,,,,,,322419S,1521211E,,Bulahdelah Showground Helicopter Landing Site,New South Wales,,heliport
airports,AU-0166,Australia,772,,,,,,,220223S,1481540E,,Poitrel Mine Helicopter Landing Site,Queensland,,heliport
airports,AU-0167,Australia,5752,,,,,,,362602S,1482000E,,Charlotte Pass Medical Centre HLS,New South Wales,,heliport
airports,AU-0168,Australia,39,,,,,,,354315S,1501143E,,Batemans Bay ALT Hanging Rock HLS,New South Wales,,heliport
airports,AU-0169,Australia,46,,,,,,,354229S,1501021E,,Batemans Bay Mackay Park HLS,New South Wales,,heliport
airports,AU-0170,Australia,2160,,,,,,,332425S,1493426E,,Bathurst Hospital Alternate (Victoria Park) Helipad,New South Wales,,heliport
airports,AU-0171,Australia,4900,,,,,,,355623S,1482238E,,Cabramurra Helicopter Landing Site,New South Wales,,heliport
airports,AU-0172,Australia,2650,,,,,,,332639S,1490003E,,Cadia Mine(Ridgeway) Helicopter Landing Site,New South Wales,,heliport
airports,AU-0173,Australia,204,,,,,,,340311S,1504128E,,Camden - Onslow Park HLS,New South Wales,,heliport
airports,AU-0174,Australia,461,,,,,,,363646S,1440106E,,Derby Field,Victoria,,small_airport
airports,AU-0175,Australia,298,,,,,,,375501S,1442901E,,Rothwell Airfield,Victoria,,small_airport
airports,AU-0176,Australia,2799,,,,,,,414945S,1460244E,,New Pelion Hut Helipad,Tasmania,,heliport
airports,AU-0177,Australia,,,,,,,,542954S,1585616E,,Macquarie Island Station Heliport,Tasmania,,heliport
airports,AU-0180,Australia,,,,,,,,350112S,1383406E,,Flinders Medical Centre Helipad,South Australia,,heliport
airports,AU-0181,Australia,,,,,,,,344455S,1383957E,,Lyell McEwin Hospital Helipad,South Australia,,heliport
airports,AU-0182,Australia,,,,,,,,344043S,1385005E,,Parra Wirra Helipad,South Australia,,small_airport
airports,AU-0183,Australia,,,,,,,,350741S,1391650E,,Murray Bridge Soldiers Memorial Hospital Helipad,South Australia,,heliport
airports,AU-0184,Australia,,,,,,,,351444S,1383304E,,Penny's Hill Helipad,South Australia,,heliport
airports,AU-0185,Australia,,,,,,,,353342S,1383624E,,South Coast District Hospital Helipad,South Australia,,heliport
airports,AU-0186,Australia,,,,,,,,345514S,1383510E,,Royal Adelaide Hospital Helipad,South Australia,,heliport
airports,AU-0187,Australia,,,,,,,,351603S,1385510E,,South Coast Heliport,South Australia,,heliport
airports,AU-0188,Australia,830,,,,,,,322739S,1505142E,,Strowan,New South Wales,,small_airport
airports,AU-0189,Australia,10,,,,,,,273408S,1532003E,,Coochiemudlo - Cricket Oval HLS,Queensland,,heliport
airports,AU-0190,Australia,129,,,,,,,175536S,1455524E,,Tully Hospital Heliport.,Queensland,,heliport
airports,AU-0191,Australia,25,,,,,,,124312S,1302142E,,Dundee Beach Airport,Northern Territory,,small_airport
airports,AU-0192,Australia,80,,,,,,,130909S,1300835E,,Channel Point Airport,Northern Territory,,small_airport
airports,AU-0193,Australia,121,,,,,,,130616S,1300940E,,Bulgul Airport,Northern Territory,,small_airport
airports,AU-0194,Australia,71,,,,,,,135132S,1295552E,,Sabina Airport,Northern Territory,,small_airport
airports,AU-0195,Australia,72,,,,,,,135648S,1294634E,,Nadirri Airport,Northern Territory,,small_airport
airports,AU-0196,Australia,69,,,,,,,140112S,1294918E,,Perrederr Airport,Northern Territory,,small_airport
airports,AU-0197,Australia,46,,,,,,,140129S,1294341E,,Yederr Airport,Northern Territory,,small_airport
airports,AU-0198,Australia,102,,,,,,,143237S,1293135E,,Fossil Head Airport,Northern Territory,,small_airport
airports,AU-0199,Australia,597,,,,,,,144632S,1310250E,,Wombungi Station Airport,Northern Territory,,small_airport
airports,AU-0200,Australia,66,,,,,,,153723S,1280339E,,Digger's Rest Station Airport,Western Australia,,small_airport
airports,AU-0201,Australia,92,,,,,,,162625S,1230103E,,Cygnet Bay Pearl Farm Airport,Western Australia,,small_airport
airports,AU-0202,Australia,16,,,,,,,165651S,1222951E,,Arrow Pearling Base Airport,Western Australia,,small_airport
airports,AU-0203,Australia,52,,,,,,,172137S,1235933E,,Meda Airport,Western Australia,,small_airport
airports,AU-0204,Australia,502,,,,,,,160742S,1234647E,,Koolan Island Village Airport,Western Australia,,small_airport
airports,AU-0205,Australia,735,,,,,,,213206S,1415017E,,Kynuna Town Strip (Glenagra),Queensland,,small_airport
airports,AU-0206,Australia,49,,,,,,,234823S,1140030E,,Minilya Airport,Western Australia,,small_airport
airports,AU-0207,Australia,223,,,,,,,241845S,1141923E,,Yandoo Creek Airport,Western Australia,,closed
airports,AU-0208,Australia,456,,,,,,,130705S,1430019E,,Chuulangun Airport,Queensland,,small_airport
airports,AU-0209,Australia,2500,,,,,,,285050S,1515128E,,Wyberba Airstrip,Queensland,,small_airport
airports,AU-0210,Australia,10,,,,,,,205513S,1492522E,,KESWICK ISLAND AIRSTRIP,Queensland,,small_airport
airports,AU-0211,Australia,100,,,,,,,280133S,1500135E,,Lundavra Private Airstrip,Queensland,,small_airport
airports,AU-0212,Australia,2,,,,,,,274606S,1523114E,,Mount Walker airstrip,Queensland,,small_airport
airports,AU-0213,Australia,50,,,,,,,265823S,1524000E,,mount archer,Queensland,,small_airport
airports,AU-0214,Australia,100,,,,,,,270257S,1511627E,,george lees airfield,Queensland,,small_airport
airports,AU-0215,Australia,,,,,,,,350839S,1490234E,,Hall Airport,New South Wales,,small_airport
airports,AU-0216,Australia,,,,,,,,254820S,1475711E,,FORESTVALE AIRSTRIP,Queensland,,small_airport
airports,AU-0217,Australia,568,,,,,,,285852S,1480317E,,Dirranbandi,Queensland,,small_airport
airports,AU-0218,Australia,25,,,,,,,261858S,1530219E,,Teewah airstrip,Queensland,,small_airport
airports,AU-0219,Australia,6,,,,,,,261734S,1525742E,,Greenfield (Cootharaba) Airfield,Queensland,,small_airport
airports,AU-0220,Australia,43,119,CTAF,126.8,MISC,,,381329S,1441958E,,Geelong Airport,Victoria,,closed
airports,AU-0221,Australia,,119,CTAF,126.8,MISC,,,381300S,1441958E,,Grovedale Airport,Victoria,,closed
airports,AU-0222,Australia,,,,,,,,285325S,1523404E,,Tabulam Oval Helipad,New South Wales,,heliport
airports,AU-0223,Australia,1115,,,,,,,265735S,1511409E,,Jimbour Homestead airstrip,Queensland,,small_airport
airports,AU-0224,Australia,270,,,,,,,364537S,1494814E,,frogs hollows airfield,New South Wales,,small_airport
airports,AU-0225,Australia,1080,126.7,CTAF,,,,,323807S,1380625E,,WILMINGTON RESIDENTIAL AIRPARK,South Australia,,small_airport
airports,AU-0226,Australia,2300,,,,,,,344403S,1495729E,,Marulan (Tangryang) Airstrip,New South Wales,,small_airport
airports,AU-0227,Australia,,,,,,,,332239S,1493110E,,Pipers Airfield,New South Wales,,small_airport
airports,AU-0228,Australia,,,,,,,,342938S,1492743E,,2nd Crookwell Airfield,New South Wales,,small_airport
airports,AU-0229,Australia,,,,,,,,331603S,1494333E,,Limekilns airfield,New South Wales,,small_airport
airports,AU-0230,Australia,,,,,,,,315844S,1494741E,,bungebah airfield,New South Wales,,small_airport
airports,AU-0231,Australia,,,,,,,,291508S,1475248E,,Narrandool Bush Strip,New South Wales,,small_airport
airports,AU-0232,Australia,,,,,,,,301507S,1492704E,,WeeWaa 2nd Airstrip,New South Wales,,small_airport
airports,AU-0233,Australia,,,,,,,,290651S,1502431E,,Croppa Creek airstrip,New South Wales,,small_airport
airports,AU-0234,Australia,,,,,,,,285004S,1510907E,,Texas Airstrip,Queensland,,small_airport
airports,AU-0235,Australia,,,,,,,,280317S,1515552E,,Ellinthorp Airstrip,Queensland,,small_airport
airports,AU-0236,Australia,,,,,,,,241628S,1514644E,,private airstrip agnes waters,Queensland,,small_airport
airports,AU-0237,Australia,,,,,,,,241417S,1515144E,,private airfield agnes waters,Queensland,,small_airport
airports,AU-0238,Australia,,,,,,,,241755S,1514707E,,private runway agnes waters,Queensland,,small_airport
airports,AU-0239,Australia,120,,,,,,,224425S,1503914E,,Samuel Hill Airfield ( Danger Zone RAAF Shoal water bay),Queensland,,small_airport
airports,AU-0240,Australia,,,,,,,,224541S,1502047E,,The Plains Airfield Shoal water bay RAAF,Queensland,,small_airport
airports,AU-0241,Australia,,,,,,,,222230S,1492735E,,Saint Lawrence,Queensland,,small_airport
airports,AU-0242,Australia,,,,,,,,231432S,1482119E,,Oaky Creek Airfield,Queensland,,small_airport
airports,AU-0243,Australia,,,,,,,,203731S,1484037E,,Midge Point,Queensland,,small_airport
airports,AU-0244,Australia,,,,,,,,213604S,1492930E,,temple island airstrip,Queensland,,small_airport
airports,AU-0245,Australia,,,,,,,,281745S,1531934E,,Nobbys Creek private Strip,New South Wales,,small_airport
airports,AU-0246,Australia,381,,,,,,,262528S,1525432E,,Cooroy School Oval HLS,Queensland,,heliport
